date,state,current,target
2017-02-10 09:01:45.426049,no job,63.1,71
2017-02-10 09:01:51.021525,no job,63,71
2017-02-10 09:01:56.616031,no job,63,71
2017-02-10 09:02:02.178484,no job,62.9,71
2017-02-10 09:02:07.774363,no job,62.8,71
2017-02-10 09:02:13.425617,no job,62.7,71
2017-02-10 09:02:19.018633,no job,62.6,71
2017-02-10 09:02:24.619990,no job,62.6,71
2017-02-10 09:02:30.238918,no job,62.5,71
2017-02-10 09:02:35.788487,no job,62.4,71
2017-02-10 09:02:41.372597,no job,62.4,71
2017-02-10 09:02:46.993515,no job,62.3,71
2017-02-10 09:02:53.040615,no job,62.2,71
2017-02-10 09:02:58.600114,no job,62.2,71
2017-02-10 09:03:04.179982,no job,62.1,71
2017-02-10 09:03:09.787879,no job,62,71
2017-02-10 09:03:15.379247,no job,61.9,71
2017-02-10 09:03:21.133604,no job,61.9,71
2017-02-10 09:03:26.736753,no job,61.8,71
2017-02-10 09:03:32.347025,no job,61.7,71
2017-02-10 09:03:37.931730,no job,61.7,71
2017-02-10 09:03:43.536245,no job,61.6,71
2017-02-10 09:03:49.146694,no job,61.5,71
2017-02-10 09:03:54.746251,no job,61.5,71
2017-02-10 09:04:00.365765,no job,61.4,71
2017-02-10 09:04:05.944789,no job,61.4,71
2017-02-10 09:04:11.537403,no job,61.3,71
2017-02-10 09:04:17.137676,no job,61.3,71
2017-02-10 09:04:22.797006,no job,61.2,71
2017-02-10 09:04:28.364463,no job,61.1,71
2017-02-10 09:04:33.944574,no job,61.1,71
2017-02-10 09:04:39.508145,no job,61,71
2017-02-10 09:04:45.094028,no job,60.9,71
2017-02-10 09:04:50.669417,no job,60.8,71
2017-02-10 09:04:56.327810,no job,60.8,71
2017-02-10 09:05:01.967851,no job,60.7,71
2017-02-10 09:05:07.616839,no job,60.6,71
2017-02-10 09:05:13.299794,no job,60.6,71
2017-02-10 09:05:18.952971,no job,60.5,71
2017-02-10 09:05:24.728025,no job,60.4,71
2017-02-10 09:05:30.303029,no job,60.4,71
2017-02-10 09:05:35.905757,no job,60.3,71
2017-02-10 09:05:41.584809,no job,60.3,71
2017-02-10 09:05:47.219209,no job,60.2,71
2017-02-10 09:05:52.830586,no job,60.1,71
2017-02-10 09:05:58.427424,no job,60.1,71
2017-02-10 09:06:04.049458,no job,60,71
2017-02-10 09:06:09.655650,no job,59.9,71
2017-02-10 09:06:15.292432,no job,59.9,71
2017-02-10 09:06:20.880046,no job,59.8,71
2017-02-10 09:06:26.683658,no job,59.8,71
2017-02-10 09:06:32.318599,no job,59.7,71
2017-02-10 09:06:37.969035,no job,59.6,71
2017-02-10 09:06:43.598929,no job,59.6,71
2017-02-10 09:06:49.309388,no job,59.6,71
2017-02-10 09:06:54.944533,no job,59.5,71
2017-02-10 09:07:00.597155,no job,59.4,71
2017-02-10 09:07:06.198285,no job,59.3,71
2017-02-10 09:07:11.837932,no job,59.3,71
2017-02-10 09:07:17.479290,no job,59.2,71
2017-02-10 09:07:23.150221,no job,59.2,71
2017-02-10 09:07:28.934829,no job,59.1,71
2017-02-10 09:07:34.579412,no job,59.1,71
2017-02-10 09:07:40.214754,no job,59,71
2017-02-10 09:07:45.798453,no job,59,71
2017-02-10 09:07:51.449243,no job,58.9,71
2017-02-10 09:07:57.129019,no job,58.8,71
2017-02-10 09:08:02.750743,no job,58.7,71
2017-02-10 09:08:08.367743,no job,58.7,71
2017-02-10 09:08:14.018497,no job,58.6,71
2017-02-10 09:08:19.745321,no job,58.6,71
2017-02-10 09:08:25.562882,no job,58.5,71
2017-02-10 09:08:31.308382,no job,58.5,71
2017-02-10 09:08:37.193917,no job,58.4,71
2017-02-10 09:08:42.778379,no job,58.4,71
2017-02-10 09:08:48.362221,no job,58.3,71
2017-02-10 09:08:53.972435,no job,58.2,71
2017-02-10 09:08:59.657303,no job,58.2,71
2017-02-10 09:09:05.299130,no job,58.2,71
2017-02-10 09:09:10.879612,no job,58.1,71
2017-02-10 09:09:16.423624,no job,58.1,71
2017-02-10 09:09:22.057694,no job,58,71
2017-02-10 09:09:27.670513,no job,57.9,71
2017-02-10 09:09:33.392669,no job,57.9,71
2017-02-10 09:09:38.956103,no job,57.8,71
2017-02-10 09:09:44.589749,no job,57.8,71
2017-02-10 09:09:50.185984,no job,57.7,71
2017-02-10 09:09:55.804078,no job,57.6,71
2017-02-10 09:10:02.542244,no job,57.6,71
2017-02-10 09:10:08.111337,no job,57.5,71
2017-02-10 09:10:13.686602,no job,57.4,71
2017-02-10 09:10:19.286743,no job,57.4,71
2017-02-10 09:10:24.851940,no job,57.3,71
2017-02-10 09:10:30.654069,no job,57.3,71
2017-02-10 09:10:36.256603,no job,57.2,71
2017-02-10 09:10:42.043831,no job,57.2,71
2017-02-10 09:10:47.638118,no job,57.1,71
2017-02-10 09:10:53.255863,no job,57.1,71
2017-02-10 09:10:58.800415,no job,57.1,71
2017-02-10 09:11:04.416201,no job,57,71
2017-02-10 09:11:10.042858,no job,56.9,71
2017-02-10 09:11:15.652648,no job,56.8,71
2017-02-10 09:11:21.241514,no job,56.8,71
